"","eta","lambda_obs","sigma0","rho","mu","nuC","pH","pU","pV","deltaC","deltaH","deltaU","deltaV","thetaH","epsilonC","epsilonH","LMH","LMU","LMV","LNH","LNU","LNV","ky","kc","cs","cd","cH","cU","cV","q0","qs","y_hobs","COST","LYG","ICER"
"1164",0.3,0.321428571428571,0.32,0.04,0.029,44.1494491724341,0.084,0.247,0.091,0,0.3,0.25,0.5,0.7032,0.47,0.44,6.79,12.7,20.8,6.79,12.7,20.8,0.03,0.03,0,1200,622.81,653.93,1132.35,0.8,0.65,0.027,9726507.78104444,72.8406943762475,133531.233664573
"1165",0.2,0.311688311688312,0.11,0.55,0.034,75.8365668453279,0.077,0.198,0.009,0,0.43,0.21,0.2,0.8056,0.64,0.46,6.29,12.7,32.3,6.29,12.7,32.3,0.03,0.03,0,1550,522.81,1003.93,1032.35,0.85,0.75,0.024,12650820.9985995,457.12739241911,27674.6071410238
"1166",0.6,0.313253012048193,0.19,0.81,0.032,51.7725613651914,0.083,0.155,0.071,0,0.24,0.33,0.22,0.8488,0.82,0.16,5.79,22.7,28.8,5.79,22.7,28.8,0.03,0.03,0,2350,422.81,953.93,1082.35,0.9,0.7,0.026,19379374.5860431,432.136126549427,44845.5322187153
"1167",0.8,0.265060240963855,0.65,0.55,0.03,32.5370381973285,0.083,0.165,0.092,0,0.46,0.15,0.42,0.441,0.35,0.14,6.29,14.2,22.3,6.29,14.2,22.3,0.06,0.03,0,1950,572.81,1003.93,1532.35,0.85,0.8,0.022,15672650.4385495,136.671584915507,114673.803250608
"1168",0.3,0.294871794871795,0.27,0.02,0.03,67.2956605943737,0.078,0.232,0.083,0,0.46,0.26,0.42,0.538,0.34,0.3,6.29,9.7,38.8,6.29,9.7,38.8,0.06,0,0,2000,522.81,953.93,1082.35,0.85,0.7,0.023,17938941.1605799,49.1074431238812,365299.840908558
"1169",0.7,0.273809523809524,0.87,0.26,0.026,26.3084445892971,0.084,0.242,0.041,0,0.38,0.23,0.15,0.7303,0.71,0.07,6.29,13.7,34.3,6.29,13.7,34.3,0.03,0.06,0,1650,522.81,1053.93,1482.35,0.95,0.75,0.023,10851554.2044769,328.200482613422,33063.7972195143
"1170",0.3,0.342105263157895,0.67,0.04,0.025,31.3539889607736,0.076,0.152,0.026,0,0.2,0.44,0.5,0.881,0.83,0.3,6.29,9.2,28.3,6.29,9.2,28.3,0,0,0,1700,372.81,1153.93,1132.35,0.9,0.8,0.026,15265516.381643,99.4707628790143,153467.37010764
"1171",0.7,0.297619047619048,0.59,0.47,0.026,60.7984731311014,0.084,0.205,0.025,0,0.16,0.34,0.33,0.8278,0.79,0.18,6.79,13.2,25.8,6.79,13.2,25.8,0.03,0,0,2400,522.81,1153.93,2082.35,0.95,0.8,0.025,21188857.6065781,191.048181202777,110908.449759532
"1172",0.5,0.2625,0.88,0.31,0.029,152.936247614724,0.08,0.249,0.06,0,0.44,0.38,0.27,0.7435,0.55,0.43,6.79,12.7,34.3,6.79,12.7,34.3,0,0.06,0,2300,572.81,1103.93,1382.35,0.95,0.65,0.021,16082898.5167408,466.952932264373,34442.2261977257
"1173",0.6,0.2875,0.06,0.01,0.026,54.43852750631,0.08,0.239,0.031,0,0.2,0.41,0.48,0.808,0.7,0.36,6.29,18.7,24.8,6.29,18.7,24.8,0,0,0,900,672.81,703.93,1732.35,1,0.8,0.023,7801293.45827629,54.2675022705098,143756.265386765
"1174",0.5,0.346153846153846,0.81,0.02,0.03,112.71537756504,0.078,0.18,0.062,0,0.45,0.31,0.37,0.6832,0.64,0.12,6.29,19.7,35.8,6.29,19.7,35.8,0.06,0.06,0,1600,622.81,703.93,1682.35,0.8,0.85,0.027,11064363.0294881,159.090623467753,69547.5496186659
"1175",0.5,0.296296296296296,0.7,0.55,0.026,50.8348693200757,0.081,0.178,0.013,0,0.15,0.35,0.41,0.5326,0.18,0.43,5.79,18.2,25.3,5.79,18.2,25.3,0.03,0.06,0,1250,472.81,1253.93,1782.35,0.85,0.75,0.024,9358801.99674609,284.73948448241,32867.945988447
"1176",0.3,0.315789473684211,0.32,0.62,0.03,56.7873034533006,0.076,0.159,0.014,0,0.17,0.43,0.11,0.6904,0.57,0.28,6.29,15.2,23.3,6.29,15.2,23.3,0.03,0.06,0,1600,422.81,803.93,1332.35,0.85,0.7,0.024,12326390.9908036,509.642016442003,24186.3712039651
